asin,name,rating,date,verified,title,body,helpfulVotes
B07PDHT5X,Chadd H.,4.5,"November 21, 2018",true,Anything less then a 4 Star Review is insane!!!,"Honestly I'm seeing such low reviews for this product and it drives me crazy lol...Alexa isn't going to make a sandwich for you or put your kids to bed! Maybe expectations are a little high lol......  I received my 3 Echo Dot devices for the Black Friday Special...and I'm ready to order 3 more! Installation was incredibly easy, pairing echo dots in groups was incredibly easy, setting reminders, playing Spotify, CBC News briefing, everything is incredible! If your in doubt honestly you will not regret buying these! The packaging is even gorgeous. Sound is great. I have two on my main floor living... Ask Alexa to set volume to 4 or 5 and your rocking! I've been a heavy smart phone user for years, I've had apple, Siri is junk, Google assistant mehhhh... but Alexa.... amazing! Feels like part of the family lol... All jokes aside you will not be disappointed with this purchase!",567
B07PDHT5X,Patrice,5.0,"November 3, 2018",true,Good introduction to our robot overlords,"Decent sound for something the size of a hockey puck. Pretty handy i must say. Keep it in the kitchen, good for timers music, conversions, weather and asking general or even area specific. questions etc. I was surprised how well it picks up voice. Wife still basically can’t fight the instinct to yell at it like an overseas call. My two year old somehow gets her to play whitney houston consistency even though she is speaking gibberish. I’m starting to think its an actual language that only alexa understands. Some free advice: never ask it to play hide and seek, it will never shut up, be warned. Would reccomend to people who aren’t afraid of robots eventually taking over the world. I think it would be a bit overwhelming for my mom’s generation.(no offence to you oldr folks). Thumbs up.",343
B07PDHT5X,Chadd H.,2.0,"November 21, 2018",true,Client Français Déçue,"Bonjour je viens de recevoir mon echo dot. Je dois dire que j ai eu de la difficulté due as une erreur de mots de passe de ma part. A moi la faute mais réparer cette erreur n as pas été chose facile après deux appelles aux service technique ça fonctionné. Merci a eux. Ma plus grande déception  a été de voir que je ne pouvais pas faire grand choses avec Alexia. Quand j ai demander ecouter ma musique elle a lancer essais gratuit sur amazon.Donc une fois les 14 jours terminer.Je ne pourrais pas écouter de musique sauf si je paye de la musique que j ai déjà. Pourquoi pas les fameux skills  et bien la coût de génie . Le canada pour votre information est bilingue Anglais et français. Ma province le québec est une des plus grande province et elle est unilingue FRANÇAISE . Vos skills pour le canada français sont presque inexistant a part les flashs de radio canada. ça rend votre Alexa très démunie. Pourtant en france il y as des skill géniaux encore la quelle deception . Je ne peux pas les activer car je suis au canada. Pas de recherche internet possible. finalement Alexia de sert pas a grand chose pour moi canadien francais. Bien a vous,  Patrice Veilleux",335
B07PDHT5X,Jason S,5.0,"October 25, 2018",true,Great,"I initially misunderstood the ordering instructions. When I ordered ""1"" I thought that it was 1 pair, not a single unit. But Amazon was great at fixing my mistake.",256
B07PDHT5X,Patrice,5.0,"November 3, 2018",true,Mediocre / Would not recommend,So for the review - the Echo Dot is fantastic. Easy to set up and easy to link my Alexa compatible products. I linked up my Smart Outlet plugs and it is so nice to just tell Alexa to turn on/off my lights as I go from room to room.,166
B07PDHT5X,robert,2.0,"October 23, 2018",true,DO NOT BUY IT...,The sound quality is very surprisingly good - really very good.,135
B07PDHT5X,Constellation ,5.0,"November 5, 2018",true,"Major sound improvement, but some bugs","My only issue is that while in the set up I have a Chinese language option, that option does not work when enabled. Also, I don't think that you can enable more than 1 language, which is a pain, as we speak Mandarin, French, English at home and my boys are learning German and Spanish at school.",111
B07PDHT5X,john,1.0,"November 3, 2018",true,Français,I will be buying some more Echo Dots so that I can leave them in other areas of the house.,111
B07PDHT5X,Amazon Customer,1.0,"October 25, 2018",true,Québécois et Canadiens francophones: français (ca) version **préliminaire**,"My only complaint is that when Alexa confirms she has done something, she sounds so bland or apathetic which I find very annoying. Come on Alexa, put some spirit into your voice and sound interested in your work.",101
B07PDHT5X,oli,3.0,"October 21, 2018",true,Canadian vs American skills,"I tried to love it, but to be honest, it's pretty mediocre. Sound is pretty bad (expected) but better than previous version. Now the real problem is that it pretty much never does what I ask it to do apart from some really basic stuff. Even then, I need to use a ""robotic""voice for the echo to understand. Also, the app has a really bad design and is not user-friendly.",81
B0791Z1G6,Marco Green,4.5,"February 1, 2019",true,Cheap for a reason,It made me realize that you get what you pay for - I’m going back to Apple TV.,1071
B0791Z1G6,Jamie Munro,5.0,"January 29, 2019",true,"Update,  problems fixed but many remain, ordered 4k one, hope its better.",Update: Amazon called me about this review and I was reminded of something - the reason this thing is cheap is because Amazon records EVERYTHING YOU WATCH. During the Apple TV setup you're asked if you're okay with them collecting analytics. The Allow and Don't Allow buttons are the same size and it's up to you to decide. Amazon does not do this. They hide the ability to disable analytics deep in the settings where I bet the average user wouldn't find it.,233
B0791Z1G6,Jamie Munro,2.0,"January 29, 2019",true,The Fire TV Stick is so underrated - very impressed.,"Okay my issue was that the account's primary address was a U.S address.  Agent switched it to Canadian.  Now stuck with many U.S apps still.  Like crackle despite going to the USA and using a registration via thier isp, was successful the app remains unpopulated.  Crackle worked in Canada since it's inception,  till last year.  Why not now?  Sony is the Content rights holder and owner of the app.  So what gives?",218
B0791Z1G6,Satbir Thind,2.0,"January 28, 2019",true,Bargain basement streaming with remote issues,"You should ask us , what address you want to register it to,  when we order it.",159
B0791Z1G6,Marco Green,3.0,"February 1, 2019",true,Terrible movie selection,"Some concern in a world of 16-32GB storage,  FireTV 8GB doesn't seem enough.  Seems so 2010.",121
B0791Z1G6,Rockwood Joe,5.0,"January 29, 2019",true,Very impressive. Far exceeded expectations.,"Also love the apps made by crave tv, global and ctv for firetv,  but the CBC Gem and the City TV and Knowledge Network, CHCH, MeTV apps also need to be native fire TV ones.",114
B0791Z1G6,Wehrmact36,3.0,"February 4, 2019",true,Meh... not great,"The native fire Tv Westerns app and the Horror app also both did not work and appeared to slow the system down.  They installed but made system stuck,  only the home button let me exit after some time.",110
B0791Z1G6,Amazon Customer,1.0,"January 30, 2019",true,I’d wait till they fix the performance issues or get the Fire Stick 4k,"I hope it's at least 3 GB or ram preferably 4.  Please publish specifications if not on the sales page, somewhere else.",93
B0791Z1G6,Sara H,5.0,"January 30, 2019",true,"super, ma tv est maitenant inteligente et même plus","The best feature is how it combines Netflix and Prime TV into one integrated experience,  what's off is that some tiles say Netflix others do not, some Netflix ones let you add to watch list others demand you login to Netflix before you can do this.",44
B0791Z1G6,Amazon Customer,2.0,"February 13, 2019",true,On l’adore,"Amazon Mr. Bazos if it matters,  the main reason is to have handy access to The Grand Tour.  I've also found that there is a video titled 24hours of TV which described as like waking up in the 1960s and watching a full day of TV,  I suppose it's 4 episodes 6 hours each, however only episode 2 works,  the rest say not available.",39
B079QH9GG,TR,4.6,"November 27, 2018",true,Pleased with Audio and Video upgrades and Alexa controlled remote,"When Amazon launched Amazon Fire TV stick-Basic Edition in Canada in November 2017, I decided to give it a try. It turned out to be right decision as I was able to not only convert my older HDTV into Smart TV, but it also opened door for lots of content including Amazon Prime Video. It should be noted that Amazon Prime Video is totally free for Amazon Prime Members. Now, most of people have 4K UHD TV and considering lots of content is now available in 4K, there was quite an urgent need for having an update to Basic version of Fire TV which only supported 1080p-full HD to 4K version in the same small form factor. I am glad that Amazon has released this much awaited and anticipated update in Canada. I am also using Amazon Echo Dot and there are few more Alexa compatible devices in home so updated remote with Alexa support is another welcome update. Amazon claims that new Fire TV Stick 4K is company’s most powerful streaming stick to date.",559
B079QH9GG,Darlene Pelletier,5.0,"November 6, 2018",true,Works with Prime in Canada (with caveats),"I pre-ordered The Fire TV Stick and it was delivered on the release day-thanks to free 1-day shipping with my Prime Membership. Stick connects to your TV’s HDMI port. Set up was very easy - Just connect stick to power port and HDMI port of TV, enter WI-Fi password and after software update, Amazon Fire TV stick was ready to use in minutes. It even asked me if I want to set up parental controls. It asked me to press Volume Up and Down buttons which in turn successfully paired my TV to the remote and now I can control TV with Amazon remote. The stick came pre-registered to my name and Amazon Account. I didn’t need to do any account set up. I just chose my Amazon account and everything was ready in few minutes. After setup, it played a brief introduction video showing key features of Amazon Fire TV.",311
B079QH9GG,TR,1.0,"November 27, 2018",true,UPDATE  - WiFi connection issue. RESOLVED :),IMPORTANT:,257
B079QH9GG,Michael Brown,5.0,"November 5, 2018",true,Crave and Bell TV in Canad do not work on this stick,People buying it as a gift should note that you should make sure that you check “THIS IS A GIFT” option when you add this to the cart. This will ensure that Fire Stick will NOT come pre-registered to your account and gift recipient can register to their own Amazon account. This will ensure that they are not using your account.,216
B079QH9GG,SG,4.0,"November 9, 2018",true,Don’t be Petty,SUMMARY OF MAJOR CHANGES FROM FIRE TV BASIC EDITION:,206
B079QH9GG,Darlene Pelletier,5.0,"November 6, 2018",true,Just perfect !,"(1) Up to 2160p/4K output resolution with Dolby Vision, HDR10+, and HDR10 format support",197
B079QH9GG,Hands,1.0,"November 6, 2018",true,"Its all about Pay, Premium and Watch",(2) 80% more Powerful due to upgraded 1.7 GHz quad-core processor,193
B079QH9GG,Mr&Mrs. Nayyer,1.0,"November 6, 2018",true,Fast but had issues,(3) Upgraded 802.11ac Wi-Fi chip,129
B079QH9GG,Sammy Gill,5.0,"November 22, 2018",true,I was skeptical but it turn out great!!,(4) Upgraded remote with Alexa support and added Volume and Mute buttons.,57
